dataset,model,MASE,WQL
dominick,output/run-0/checkpoint-10000,1.0751993110471318,0.5257072404427074
ercot,output/run-0/checkpoint-10000,1.457603204136154,0.043117666501156456
exchange_rate,output/run-0/checkpoint-10000,2.1907293835905963,0.01803804930552396
m4_quarterly,output/run-0/checkpoint-10000,1.6022426876757776,0.12058201602090672
m4_yearly,output/run-0/checkpoint-10000,4.5291523948394365,0.18818739579681037
m5,output/run-0/checkpoint-10000,1.2433220637509443,0.9509143350279601
monash_australian_electricity,output/run-0/checkpoint-10000,0.8251633621499809,0.06859053007004684
monash_car_parts,output/run-0/checkpoint-10000,1.0826423326910783,1.601588048609892
monash_cif_2016,output/run-0/checkpoint-10000,1.2671688393420464,0.012924332956118159
monash_covid_deaths,output/run-0/checkpoint-10000,54.371196606566826,0.112492297561444
monash_fred_md,output/run-0/checkpoint-10000,0.8071617335486808,0.08403445262916337
monash_hospital,output/run-0/checkpoint-10000,1.0472634653495423,0.09977611023565565
monash_m1_monthly,output/run-0/checkpoint-10000,1.4508390282537755,0.22236890879225
monash_m1_quarterly,output/run-0/checkpoint-10000,2.0002349632466685,0.17297964118857995
monash_m1_yearly,output/run-0/checkpoint-10000,5.059941696091697,0.20390986995035043
monash_m3_monthly,output/run-0/checkpoint-10000,1.1892249407890754,0.15076359626412306
monash_m3_quarterly,output/run-0/checkpoint-10000,1.53694163791522,0.11304770208578024
monash_m3_yearly,output/run-0/checkpoint-10000,3.6855104013652777,0.20426136270481488
monash_nn5_weekly,output/run-0/checkpoint-10000,1.1762356804583898,0.13613263281748755
monash_tourism_monthly,output/run-0/checkpoint-10000,2.4147251402488354,0.16041271850377684
monash_tourism_quarterly,output/run-0/checkpoint-10000,2.0830388091038996,0.11494588669710867
monash_tourism_yearly,output/run-0/checkpoint-10000,4.122507264188487,0.2379237214881248
monash_traffic,output/run-0/checkpoint-10000,1.9097367114702108,0.43252602111524013
monash_weather,output/run-0/checkpoint-10000,1.1517370394966562,0.2290056322586385
nn5,output/run-0/checkpoint-10000,0.729505700002105,0.23122345606563868
